Account address,Show boosts,Notify on new posts,Languages
@abbie@dotnet.social,true,false,
@akselmo@fosstodon.org,true,false,
@ancientitguy@dotnet.social,true,false,
@andrewstellman@mastodon.social,true,false,
@anthony_steele@dotnet.social,true,false,
@biozal@dotnet.social,true,false,
@bitbonk@mastodon.social,true,false,
@carldebilly@dotnet.social,true,false,
@chrissainty@mstdn.social,true,false,
@codewithstu@dotnet.social,true,false,
@damien_bod@twtr.plus,true,false,
@davidebellone@mastodon.uno,true,false,
@davidfowl@hachyderm.io,true,false,
@davidpine@dotnet.social,true,false,
@davidwengier@aus.social,true,false,
@davkean@dotnet.social,true,false,
@foo_fighter@dotnet.social,true,false,
@gareth@dotnet.social,true,false,
@glacasa@dotnet.social,true,false,
@gsferreira@dotnet.social,true,false,
@idg10@dotnet.social,true,false,
@jfversluis@mas.to,true,false,
@Jkw@tech.lgbt,true,false,
@jmarolf@mastodon.social,true,false,
@joaofbantunes@mastodon.social,true,false,
@khalidabuhakmeh@mastodon.social,true,false,
@Moke@hachyderm.io,true,false,
@nicdex@techhub.social,true,false,
@pkanavos@dotnet.social,true,false,
@plantpowerjames@hachyderm.io,true,false,
@sebbs@dotnet.social,true,false,
@shanselman@mastodon.social,true,false,
@stevegilham@dotnet.social,true,false,
@styx31@dotnet.social,true,false,
@swimburger@dotnet.social,true,false,
@turnerj@fosstodon.org,true,false,
@vyedin@hachyderm.io,true,false,
@ythos@dotnet.social,true,false,
