Account address,Show boosts,Notify on new posts,Languages
@afilina@phpc.social,true,false,
@akrabat@phpc.social,true,false,
@ameliniya@phpc.social,true,false,
@asgrim@phpc.social,true,false,
@bcremer@phpc.social,true,false,
@beberlei@phpc.social,true,false,
@chrisarter@phpc.social,true,false,
@claudiodekker@mastodon.social,true,false,
@danharrin@phpc.social,true,false,
@daryl1509@phpc.social,true,false,
@derickr@phpc.social,true,false,
@doekenorg@phpc.social,true,false,
@dragonbe@phpc.social,true,false,
@driesvints@phpc.social,true,false,
@dunglas@mastodon.social,true,false,
@emiracle@uiuxdev.social,true,false,
@erikaheidi@fosstodon.org,true,false,
@frankdejonge@mastodon.social,true,false,
@grmpyprogrammer@phpc.social,true,false,
@heiglandreas@phpc.social,true,false,
@hemp@laravel.gg,true,false,
@huan@itdev.social,true,false,
@ianlandsman@mastodon.social,true,false,
@james@phpc.social,true,false,
@jessarcher@mas.to,true,false,
@jrf_nl@phpc.social,true,false,
@juststeveking@phpc.social,true,false,
@keithdamiani@phpc.social,true,false,
@lornajane@indieweb.social,true,false,
@marcelpociot@mas.to,true,false,
@MarkBaker@phpc.social,true,false,
@matthiasnoback@mastodon.social,true,false,
@Mattstauffer@mastodon.social,true,false,
@me@daveyshafik.com,true,false,
@mijustin@mastodon.social,true,false,
@mjwhansen@bbiz.io,true,false,
@mvpopuk@phpc.social,true,false,
@nicolasgrekas@phpc.social,true,false,
@nunomaduro@phpc.social,true,false,
@otsch@phpc.social,true,false,
@paladin@mastodon.online,true,false,
@phpc@phpc.social,true,false,
@php@fosstodon.org,true,false,
@ramsey@phpc.social,true,false,
@rias@phpc.social,true,false,
@ricardosawir@phpc.social,true,false,
@rubenvanassche@mastodon.cloud,true,false,
@ryangjchandler@phpc.social,true,false,
@sebastian@phpc.social,true,false,
@seldaek@mastodon.social,true,false,
@shawnhooper@fosstodon.org,true,false,
@Skoop@phpc.social,true,false,
@stefanbauer@phpc.social,true,false,
@stefanzweifel@mastodon.social,true,false,
@valorin@infosec.exchange,true,false,
@zuzana_kunckova@phpc.social,true,false,
