Account address,Show boosts,Notify on new posts,Languages
agentydragon@mastodon.social,true,false,
aissen@octodon.social,true,false,
algernon@trunk.mad-scientist.club,true,false,
alxd@writing.exchange,true,false,
andryou@mastodon.social,true,false,
andybalaam@mastodon.social,true,false,
Angle@anticapitalist.party,true,false,
apetresc@fosstodon.org,true,false,
aral@mastodon.ar.al,true,false,
Archivist@social.linux.pizza,true,false,
ascott@fosstodon.org,true,false,
autumn@triangletoot.party,true,false,
badtuple@mastodon.social,true,false,
bearveloper@mas.to,true,false,
benhamill@eldritch.cafe,true,false,
bleeptrack@chaos.social,true,false,
blueberry@fosstodon.org,true,false,
brainblasted@social.libre.fi,true,false,
caranmegil@mstdn.social,true,false,
carlcolglazier@scholar.social,true,false,
chrismastodon@fosstodon.org,true,false,
ckeen@vernunftzentrum.de,true,false,
clarabellum@mstdn.party,true,false,
codesections@fosstodon.org,true,false,
coding@todon.nl,true,false,
corbin@toot.cafe,true,false,
craigmaloney@octodon.social,true,false,
cuspidalcoffee@types.pl,true,false,
danana_dread@cybre.space,true,false,
david@mastodon.technology,true,false,
david@tech.lgbt,true,false,
detondev@social.linux.pizza,true,false,
digital_carver@qoto.org,true,false,
downey@floss.social,true,false,
drwho@hackers.town,true,false,
ellotheth@bsd.network,true,false,
endeavorance@astral.camp,true,false,
enterprisey@wiki.style,true,false,
ephemeral@mograph.social,true,false,
er1n@social.mecanis.me,true,false,
ericmann@tekton.network,true,false,
esureL@chaos.social,true,false,
EvanHahn@bigshoulders.city,true,false,
finlaydag33k@social.linux.pizza,true,false,
flavigula@sonomu.club,true,false,
fluffy@plush.city,true,false,
foosel@chaos.social,true,false,
francoisz@fosstodon.org,true,false,
freemo@qoto.org,true,false,
gappleto97@mastodon.social,true,false,
gdorn@fedi.circuitlocution.com,true,false,
glenda@fedi.9til.de,true,false,
gnomethrower@aus.social,true,false,
greenfructose@tribefeed.online,true,false,
greenprocyon@mastodon.social,true,false,
greyor@freeradical.zone,true,false,
gueorgui@merveilles.town,true,false,
hejowhat@fosstodon.org,true,false,
hlegius@fosstodon.org,true,false,
hollowgaming@gamemaking.social,true,false,
hollowspecter@tech.lgbt,true,false,
hugo@masto.pt,true,false,
huntra@mastodon.technology,true,false,
ilyess@mastodon.online,true,false,
jacek@mastodon.technology,true,false,
jacenboy@mastodon.jacen.moe,true,false,
jasondilworth@mastodon.online,true,false,
jdormit@mastodon.technology,true,false,
jeffalyanak@social.rights.ninja,true,false,
joe@oldinternet.net,true,false,
julianwki@chaos.social,true,false,
keith@anarchism.space,true,false,
kinsey@cybre.space,true,false,
kisharrington@mastodon.social,true,false,
kjoo@fosstodon.org,true,false,
kmg@mastodon.social,true,false,
konrad@fosstodon.org,true,false,
korruptor@mastodon.social,true,false,
koyu@koyu.space,true,false,
kreyren@qoto.org,true,false,
kujiu@tiphon.nerv-project.eu,true,false,
l4p1n@miaou.drycat.fr,true,false,
liam@octodon.social,true,false,
Librenyaa@mastodon.social,true,false,
makingmicro@oldbytes.space,true,false,
marcel@tfwnogf.nl,true,false,
martijn@ieji.de,true,false,
martin@mstdn.binfalse.de,true,false,
masterofthetiger@theres.life,true,false,
mattbraddock@fosstodon.org,true,false,
mcchessers@mastodon.gamedev.place,true,false,
mikapyon@mastodon.social,true,false,
mirrorboxmilo@mstdn.social,true,false,
mxkoder@hachyderm.io,true,false,
myersjustinc@mastodon.sdf.org,true,false,
NecroTechno@ghost.cafe,true,false,
niklaskorz@rheinneckar.social,true,false,
noeldemartin@noeldemartin.social,true,false,
nytpu@tilde.zone,true,false,
oklomsy@social.linux.pizza,true,false,
petrichor@scholar.social,true,false,
pixelpaperyarn@icosahedron.website,true,false,
programwitch@mastodon.social,true,false,
punkscience@linernotes.club,true,false,
puresick@imd.social,true,false,
q@glauca.space,true,false,
ramsey@phpc.social,true,false,
remram44@framapiaf.org,true,false,
revk@toot.me.uk,true,false,
rngesus_wept@mastodon.social,true,false,
rugk@chaos.social,true,false,
ruscur@ozlabs.house,true,false,
Sammy8806@layer8.space,true,false,
savannah@fosstodon.org,true,false,
sbr@hachyderm.io,true,false,
sexybiggetje@mastodon.social,true,false,
s_gruppetta@qoto.org,true,false,
shouko@fedi.absturztau.be,true,false,
sid@tilde.zone,true,false,
singingwolfboy@mastodon.social,true,false,
sir@cmpwn.com,true,false,
sivy@toot.cafe,true,false,
sp6mr@mastodon.radio,true,false,
spacebuffer@fosstodon.org,true,false,
stepan@skorpil.cz,true,false,
storydragon@dragonscave.space,true,false,
Strubbl@social.tchncs.de,true,false,
talon@dragonscave.space,true,false,
tekkie@mstdn.social,true,false,
thatonecalculator@stop.voring.me,true,false,
TheFake_VIP@linuxrocks.online,true,false,
TheOuterLinux@mastodon.social,true,false,
timj@social.tchncs.de,true,false,
tk@bbs.kawa-kun.com,true,false,
Trent@cybre.space,true,false,
tweedge@cybersecurity.theater,true,false,
twisterghost@quietcar.social,true,false,
VickyRampin@octodon.social,true,false,
watzon@uncorking.me,true,false,
wonderdon@mastodon.social,true,false,
yisraeldov@linuxrocks.online,true,false,
zladuric@mastodon.technology,true,false,
