Account address,Show boosts,Notify on new posts,Languages
@___m___@infosec.exchange,true,false,
@adamchainz@fosstodon.org,true,false,
@admhpkns@fosstodon.org,true,false,
@AFPy@mamot.fr,true,false,
@agentydragon@mastodon.social,true,false,
@alice@lgbtqia.space,true,false,
@AlSweigart@mastodon.social,true,false,
@ambv@mastodon.social,true,false,
@andrestumpf@mstdn.social,true,false,
@archipylago@mementomori.social,true,false,
@arinbasu@qoto.org,true,false,
@ashley@digipres.club,true,false,
@blackpythondevs@fosstodon.org,true,false,
@blueberry@fosstodon.org,true,false,
@brainwane@social.coop,true,false,
@brettcannon@mastodon.social,true,false,
@brianokken@fosstodon.org,true,false,
@carl@hci.social,true,false,
@carlton@fosstodon.org,true,false,
@charliermarsh@hachyderm.io,true,false,
@cheukting_ho@fosstodon.org,true,false,
@chrisjrn@social.coop,true,false,
@clepy@fosstodon.org,true,false,
@cmaureir@mastodon.social,true,false,
@ColinTheMathmo@mathstodon.xyz,true,false,
@dabeaz@mastodon.social,true,false,
@danielfeldroy@fosstodon.org,true,false,
@darryl@oceanplayground.social,true,false,
@davidism@mas.to,true,false,
@detondev@social.linux.pizza,true,false,
@di@mastodon.social,true,false,
@django@fosstodon.org,true,false,
@djangonews@mastodon.social,true,false,
@doismellburning@chaos.social,true,false,
@doughellmann@hachyderm.io,true,false,
@downey@floss.social,true,false,
@Drops@chaos.social,true,false,
@dsoft@techhub.social,true,false,
@ephemeral@mograph.social,true,false,
@er1n@social.mecanis.me,true,false,
@EvilDMP@mastodon.online,true,false,
@feoh@oldbytes.space,true,false,
@fluffy@plush.city,true,false,
@foosel@chaos.social,true,false,
@gadgetoid@fosstodon.org,true,false,
@geopandas@fosstodon.org,true,false,
@glyph@mastodon.social,true,false,
@gnomethrower@aus.social,true,false,
@greenprocyon@mastodon.social,true,false,
@gvwilson@mastodon.social,true,false,
@hasanramezani@fosstodon.org,true,false,
@HelPy@fosstodon.org,true,false,
@hollowgaming@gamemaking.social,true,false,
@hugovk@mastodon.social,true,false,
@hynek@mastodon.social,true,false,
@iamkale@infosec.exchange,true,false,
@ilyess@mastodon.online,true,false,
@ines@sigmoid.social,true,false,
@iritkatriel@noc.social,true,false,
@itamarst@hachyderm.io,true,false,
@janeadams@datavis.social,true,false,
@jasondilworth@mastodon.online,true,false,
@jezdez@publicidentity.net,true,false,
@jokull@mastodon.social,true,false,
@kisharrington@mastodon.social,true,false,
@kiwipycon@mastodon.social,true,false,
@klaatu@mastodon.xyz,true,false,
@kmcquade@infosec.exchange,true,false,
@kmg@mastodon.social,true,false,
@kokan@balkan.fedive.rs,true,false,
@kravietz@agora.echelon.pl,true,false,
@kujiu@tiphon.nerv-project.eu,true,false,
@kushal@toots.dgplug.org,true,false,
@Lesault@infosec.exchange,true,false,
@lightweight@mastodon.nzoss.nz,true,false,
@LivInTheLookingGlass@tech.lgbt,true,false,
@LivInTheLookingGlass@transfem.social,true,false,
@madpy@fosstodon.org,true,false,
@maeve@eldritch.cafe,true,false,
@mariatta@fosstodon.org,true,false,
@Marlene@fosstodon.org,true,false,
@maxleibman@beige.party,true,false,
@mike@fosstodon.org,true,false,
@misterjoshua@fosstodon.org,true,false,
@mitsuhiko@hachyderm.io,true,false,
@mkennedy@fosstodon.org,true,false,
@naomiceder@mastodon.art,true,false,
@ndrwy@zeroes.ca,true,false,
@nedbat@hachyderm.io,true,false,
@NorthBayPython@social.northbaypython.org,true,false,
@obspy@fosstodon.org,true,false,
@ogrisel@sigmoid.social,true,false,
@ottaross@mastodon.social,true,false,
@pamelafox@fosstodon.org,true,false,
@paulox@fosstodon.org,true,false,
@pawamoy@fosstodon.org,true,false,
@pescara@social.python.it,true,false,
@petrichor@digipres.club,true,false,
@phildini@xoxo.zone,true,false,
@pillow@fosstodon.org,true,false,
@pipbot@hachyderm.io,true,false,
@ptmcg@fosstodon.org,true,false,
@pyamsterdam@fosstodon.org,true,false,
@pybay@fosstodon.org,true,false,
@pycascades@hachyderm.io,true,false,
@pycon@fosstodon.org,true,false,
@pycon_austria@mastodon.social,true,false,
@pyconafrica@mastodon.social,true,false,
@pyconau@mastodon.pycon.org.au,true,false,
@pyconfi@fosstodon.org,true,false,
@PyConNA@hachyderm.io,true,false,
@PyConUK@fosstodon.org,true,false,
@pyconza@fosstodon.org,true,false,
@pyladies_vancouver@fosstodon.org,true,false,
@pyninsula@fosstodon.org,true,false,
@pyohio@fosstodon.org,true,false,
@pyOpenSci@fosstodon.org,true,false,
@pypi@fosstodon.org,true,false,
@Python4DataScience@mastodon.social,true,false,
@python_discussions@mastodon.social,true,false,
@Python_Ireland@mastodon.ie,true,false,
@python_lyon@piaille.fr,true,false,
@python_vlc@masto.es,true,false,
@pythonbynight@hachyderm.io,true,false,
@pythonbytes@fosstodon.org,true,false,
@pythoncerrado@pynews.com.br,true,false,
@PythonCoruna@mastodon.gal,true,false,
@pythonhub@mastodon.social,true,false,
@pythonpizza@fosstodon.org,true,false,
@pythonrennes@social.breizhcamp.org,true,false,
@q@glauca.space,true,false,
@quentinpradet@fosstodon.org,true,false,
@raiderrobert@mastodon.social,true,false,
@rami@fosstodon.org,true,false,
@realpython@fosstodon.org,true,false,
@redoak@social.coop,true,false,
@remram44@framapiaf.org,true,false,
@rmishra@mstdn.social,true,false,
@rngesus_wept@mastodon.social,true,false,
@robinhartley@tech.lgbt,true,false,
@roman_right@fosstodon.org,true,false,
@s_gruppetta@mas.to,true,false,
@Sammy8806@layer8.space,true,false,
@samuelcolvin@fosstodon.org,true,false,
@savannah@fosstodon.org,true,false,
@scientific_python@fosstodon.org,true,false,
@sethmlarson@mastodon.social,true,false,
@shabbir@hachyderm.io,true,false,
