Account address,Show boosts,Notify on new posts,Languages
@alexbevi@ruby.social,true,false,
@amsrb@ruby.social,true,false,
@andypiper@macaw.social,true,false,
@ashley@digipres.club,true,false,
@ayush@ruby.social,true,false,
@badtuple@mastodon.social,true,false,
@balticruby@ruby.social,true,false,
@baweaver@hachyderm.io,true,false,
@bcarreno@ruby.social,true,false,
@bighi@mastodon.online,true,false,
@bridgetown@ruby.social,true,false,
@brightonruby@ruby.social,true,false,
@byron@ruby.social,true,false,
@byroot@ruby.social,true,false,
@coding@todon.nl,true,false,
@collin@ruby.social,true,false,
@CoralineAda@ruby.social,true,false,
@erlingur@ruby.social,true,false,
@Euruko@ruby.social,true,false,
@evanphx@ruby.social,true,false,
@excid3@ruby.social,true,false,
@foca@ruby.social,true,false,
@Gargron@mastodon.social,true,false,
@genevarb@ruby.social,true,false,
@GenghisKen@ruby.social,true,false,
@getalifemike@urbanists.social,true,false,
@halfbyte@ruby.social,true,false,
@hanami@ruby.social,true,false,
@helsinkiruby@ruby.social,true,false,
@helvetic_ruby@ruby.social,true,false,
@hkirb@ruby.social,true,false,
@hlegius@fosstodon.org,true,false,
@james@ruby.social,true,false,
@janerictobias@ruby.social,true,false,
@jhawthorn@ruby.social,true,false,
@joeldrapper@ruby.social,true,false,
@john@hawthorn.pub,true,false,
@jonas@tacocat.space,true,false,
@JRuby@ruby.social,true,false,
@kaigionrails@ruby.social,true,false,
@kcruby@ruby.social,true,false,
@kkuchta@ruby.social,true,false,
@lrug@ruby.social,true,false,
@lucian@ruby.social,true,false,
@maple@ruby.social,true,false,
@marcoroth@ruby.social,true,false,
@moritz@heiber.im,true,false,
@nateberkopec@mastodon.social,true,false,
@nilsding@pounced-on.me,true,false,
@ntl@ruby.social,true,false,
@NWRUG@ruby.social,true,false,
@postmodern@ruby.social,true,false,
@ronin_rb@infosec.exchange,true,false,
@rooftop@ruby.social,true,false,
@ruby_discussions@mastodon.social,true,false,
@rubycentral@ruby.social,true,false,
@rubykaigi@ruby.social,true,false,
@rubyunconf@ruby.social,true,false,
@Ryanbigg@ruby.social,true,false,
@ryanmaynard@mastodon.cloud,true,false,
@samruby@ruby.social,true,false,
@Schneems@ruby.social,true,false,
@solnic@hachyderm.io,true,false,
@talk2megooseman@ruby.social,true,false,
@tekkie@mstdn.social,true,false,
@tenderlove@mastodon.social,true,false,
@testdouble@mastodon.world,true,false,
@tim_mecklem@ruby.social,true,false,
@timriley@ruby.social,true,false,
@tobypinder@mastodon.social,true,false,
@wilbr@glitch.social,true,false,
@wnb_rb@ruby.social,true,false,
@wrocloverb@ruby.social,true,false,
@yorkruby@ruby.social,true,false,
