Account address,Show boosts,Notify on new posts,Languages
@agluszak@fosstodon.org,true,false,
@ahl@mastodon.social,true,false,
@algo_luca@hachyderm.io,true,false,
@alice_i_cecile@mastodon.gamedev.place,true,false,
@andybalaam@mastodon.social,true,false,
@anna@blahaj.zone,true,false,
@badtuple@mastodon.social,true,false,
@balrogboogie@rage.love,true,false,
@bascule@mas.to,true,false,
@bb010g@weirder.earth,true,false,
@bcantrill@mastodon.social,true,false,
@benwis@hachyderm.io,true,false,
@berkes@mastodon.nl,true,false,
@bevy@mastodon.social,true,false,
@bnjbvr_en@tutut.delire.party,true,false,
@cadey@pony.social,true,false,
@cart@mastodon.social,true,false,
@cetra3@mastodon.social,true,false,
@chetanbhasin@indieweb.social,true,false,
@chuck@spore.social,true,false,
@clux@hachyderm.io,true,false,
@codesections@fosstodon.org,true,false,
@codewiz@mstdn.io,true,false,
@d0nut@infosec.exchange,true,false,
@deadparrot@mastodon.social,true,false,
@djc@hachyderm.io,true,false,
@dtolnay@rewrite.in.rs,true,false,
@ebkalderon@hachyderm.io,true,false,
@ekuber@hachyderm.io,true,false,
@emk@mastodon.xyz,true,false,
@er1n@social.mecanis.me,true,false,
@esttorhe@mastodon.social,true,false,
@federicomena@mstdn.mx,true,false,
@flovanmd@floss.social,true,false,
@fu5ha@mastodon.art,true,false,
@fulmicoton@fosstodon.org,true,false,
@Gankra@toot.cat,true,false,
@gfxstrand@treehouse.systems,true,false,
@gnomethrower@aus.social,true,false,
@GodotRust@mastodon.gamedev.place,true,false,
@GregMorenz@hachyderm.io,true,false,
@h3r2tic@mastodon.gamedev.place,true,false,
@haeckerfelix@mastodon.social,true,false,
@Hemera@meow.social,true,false,
@herberticus@fosstodon.org,true,false,
@hibachrach@tech.lgbt,true,false,
@hunger@fosstodon.org,true,false,
@husbandpanda@mstdn.party,true,false,
@ilmai@hachyderm.io,true,false,
@iteratee@discuss.systems,true,false,
@JadedBlueEyes@tech.lgbt,true,false,
@jam@tilde.zone,true,false,
@janriemer@floss.social,true,false,
@jhaand@mas.to,true,false,
@jhpratt@mastodon.social,true,false,
@jsbarretto@social.coop,true,false,
@JSMuellerRoemer@c.im,true,false,
@karolherbst@chaos.social,true,false,
@khionu@hachyderm.io,true,false,
@kokan@balkan.fedive.rs,true,false,
@kornel@mastodon.social,true,false,
@kreyren@qoto.org,true,false,
@laiot@mastodon.uno,true,false,
@lesley@mastodon.gamedev.place,true,false,
@lina@vt.social,true,false,
@LivInTheLookingGlass@transfem.social,true,false,
@liw@toot.liw.fi,true,false,
@lyrenhex@social.lyrenhex.com,true,false,
@manish@fosstodon.org,true,false,
@manishearth@mastodon.social,true,false,
@Mara@hachyderm.io,true,false,
@MarcoIeni@hachyderm.io,true,false,
@mikej@hachyderm.io,true,false,
@misterjoshua@fosstodon.org,true,false,
@Mithridates@mstdn.social,true,false,
@mitsuhiko@hachyderm.io,true,false,
@mygnu@hachyderm.io,true,false,
@nathanstocks@hachyderm.io,true,false,
@NecroTechno@ghost.cafe,true,false,
@niklaskorz@rheinneckar.social,true,false,
@NovelKeysInk@fosstodon.org,true,false,
@oli@hachyderm.io,true,false,
@ozkriff@mastodon.gamedev.place,true,false,
@pablogmz@fosstodon.org,true,false,
@petrichor@digipres.club,true,false,
@philpax@mastodon.gamedev.place,true,false,
@pinkforest@hachyderm.io,true,false,
@PurpleBooth@hachyderm.io,true,false,
@raph@mastodon.online,true,false,
@repi@mastodon.gamedev.place,true,false,
@robinhartley@tech.lgbt,true,false,
@robinst@hachyderm.io,true,false,
@rochacbruno@hachyderm.io,true,false,
@rstropek@fosstodon.org,true,false,
@ruscur@ozlabs.house,true,false,
@rust@social.rust-lang.org,true,false,
@rust_discussions@mastodon.social,true,false,
@rust_gamedev@mastodon.gamedev.place,true,false,
@rustconf@hachyderm.io,true,false,
@rustfoundation@mastodon.social,true,false,
@rusticorn@fosstodon.org,true,false,
@rustlab@mastodon.uno,true,false,
@rustlang@mastodon.social,true,false,
@rustlinz@fosstodon.org,true,false,
@rustunit@mastodon.social,true,false,
@sashin@veganism.social,true,false,
@Schneems@ruby.social,true,false,
@seanmonstar@masto.ai,true,false,
@sgrif@hachyderm.io,true,false,
@silwol@chaos.social,true,false,
@soller@floss.social,true,false,
@Speykious@vt.social,true,false,
@sunfish@hachyderm.io,true,false,
@theorozier@mastodon.gougere.fr,true,false,
@thisweekinrust@mastodon.social,true,false,
@timClicks@mastodon.nz,true,false,
@Toasterson@chaos.social,true,false,
@tronical@fosstodon.org,true,false,
@vgel@mastodon.gamedev.place,true,false,
@VictorTaelin@sigmoid.social,true,false,
@y6nH@im-in.space,true,false,
@yamafaktory@mastodon.social,true,false,
@yosh@toot.yosh.is,true,false,
@Zendril@fosstodon.org,true,false,
